Franchise,Num,Year,Tm,Abbrev,Now,ActiveVal,Lg,Div,W,L,Wpct,TopWpct,Finish,Playoffs,WorldSeries,PlayoffRecord,Stadium,Attendance,Attend/G,Rank,Est. Payroll,PPF,BPF,AvgAttend
Oakland Athletics,16,1904,Philadelphia Athletics,,,2,AL,,81,70,0.536423841,none,5,,n,,Columbia Park,512294,6485,3rd of 8,$,103,105,
Philadelphia Phillies,6,1904,Philadelphia Phillies,,,1,NL,,52,100,0.342105263,none,8,,n ,,Baker Bowl,140771,1928,7th of 8,$,100,99,
Pittsburgh Pirates,4,1904,Pittsburgh Pirates,,,1,NL,,87,66,0.568627451,none,4,,n,,Exposition Park III,340615,4367,5th of 8,$,100,103,
San Francisco Giants,7,1904,New York Giants,,,2,NL,,106,47,0.692810458,none,1,,n,,Polo Grounds IV,609826,7260,1st of 8,$,100,104,
St. Louis Cardinals,5,1904,St. Louis Cardinals,,,1,NL,,75,79,0.487012987,none,5,,n,,Robison Field,386750,5089,3rd of 8,$,99,96,
Oakland Athletics,16,1905,Philadelphia Athletics,,,2,AL,,92,56,0.621621622,toppct,1,Lost_WS ,n,4-1),Columbia Park,554576,7494,2nd of 8,$,100,102,
San Francisco Giants,7,1905,New York Giants,,,2,NL,,105,48,0.68627451,both,1,Won_WS ,y,4-1),Polo Grounds IV,552700,7272,1st of 8,$,98,102,
Atlanta Braves,1,1905,Boston Beaneaters,,,8,NL,,51,103,0.331168831,none,7,,n,,South End Grounds III,150003,1974,8th of 8,$,103,98,
Baltimore Orioles,9,1905,St. Louis Browns,,,2,AL,,54,99,0.352941176,none,8,,n ,,Sportsman's Park II,339112,4293,4th of 8,$,96,95,
Boston Red Socks,10,1905,Boston Americans,,,2,AL,,78,74,0.513157895,none,4,,n,,Huntington Avenue Baseball Grounds,468828,6089,3rd of 8,$,102,101,
Chicago Cubs,2,1905,Chicago Cubs,,,1,NL,,92,61,0.60130719,none,3,,n ,,West Side Grounds,509900,6295,2nd of 8,$,99,104,
Chicago White Sox,11,1905,Chicago White Sox,,,1,AL,,92,60,0.605263158,none,2,,n,,South Side Park III,687419,8383,1st of 8,$,93,96,
Cincinnati Reds,3,1905,Cincinnati Reds,,,3,NL,,79,74,0.516339869,none,5,,n,,Palace of the Fans,313927,3974,5th of 8,$,110,111,
Cleveland Indians,12,1905,Cleveland Naps,,,2,AL,,76,78,0.493506494,none,5,,n,,League Park I,316306,4108,6th of 8,$,99,101,
Detroit Tigers,13,1905,Detroit Tigers,,,1,AL,,79,74,0.516339869,none,3,,n ,,Bennett Park &  Neil Park II,193384,2545,8th of 8,$,103,101,
Los Angeles Dodgers,8,1905,Brooklyn Superbas,,,6,NL,,48,104,0.315789474,none,8,,n ,,Washington Park III,227924,2960,7th of 8,$,96,93,
Minnesota Twins,14,1905,Washington Senators,,,2,AL,,64,87,0.42384106,none,7,,n,,American League Park II,252027,3273,7th of 8,$,100,96,
New York Yankees,15,1905,New York Highlanders,,,2,AL,,71,78,0.476510067,none,6,,n ,,Hilltop Park,309100,4121,5th of 8,$,110,111,
Philadelphia Phillies,6,1905,Philadelphia Phillies,,,1,NL,,83,69,0.546052632,none,4,,n ,,Baker Bowl,317932,4183,4th of 8,$,97,96,
Pittsburgh Pirates,4,1905,Pittsburgh Pirates,,,1,NL,,96,57,0.62745098,none,2,,n,,Exposition Park III,369124,4732,3rd of 8,$,100,103,
St. Louis Cardinals,5,1905,St. Louis Cardinals,,,1,NL,,58,96,0.376623377,none,6,,n,,Robison Field,292800,3803,6th of 8,$,99,97,
Chicago Cubs,2,1906,Chicago Cubs,,,1,NL,,116,36,0.763157895,toppct,1,Lost_WS ,n ,4-2),West Side Grounds,654300,8282,1st of 8,$,100,106,
Chicago White Sox,11,1906,Chicago White Sox,,,1,AL,,93,58,0.61589404,both,1,Won_WS ,y,4-2),South Side Park III,585202,7408,1st of 8,$,95,98,
Atlanta Braves,1,1906,Boston Beaneaters,,,8,NL,,49,102,0.324503311,none,8,,n,,South End Grounds III,143280,1885,8th of 8,$,102,97,
Baltimore Orioles,9,1906,St. Louis Browns,,,2,AL,,76,73,0.510067114,none,5,,n ,,Sportsman's Park II,389157,5120,5th of 8,$,96,96,
Boston Red Socks,10,1906,Boston Americans,,,2,AL,,49,105,0.318181818,none,8,,n,,Huntington Avenue Baseball Grounds,410209,5327,4th of 8,$,102,100,
Cincinnati Reds,3,1906,Cincinnati Reds,,,3,NL,,64,87,0.42384106,none,6,,n,,Palace of the Fans,330056,4231,4th of 8,$,104,104,
Cleveland Indians,12,1906,Cleveland Naps,,,2,AL,,89,64,0.581699346,none,3,,n,,League Park I,325733,4123,6th of 8,$,97,99,
Detroit Tigers,13,1906,Detroit Tigers,,,1,AL,,71,78,0.476510067,none,6,,n ,,Bennett Park,174043,2231,7th of 8,$,103,103,
Los Angeles Dodgers,8,1906,Brooklyn Superbas,,,6,NL,,66,86,0.434210526,none,5,,n ,,Washington Park III,277400,3650,7th of 8,$,96,92,
