Franchise,Num,Year,Tm,Abbrev,Now,ActiveVal,Lg,Div,W,L,Wpct,TopWpct,Finish,Playoffs,WorldSeries,PlayoffRecord,Stadium,Attendance,Attend/G,Rank,Est. Payroll,PPF,BPF,AvgAttend
Baltimore Orioles,9,1996,Baltimore Orioles,,,1,AL,East,88,74,0.543209877,none,2,Lost ALCS ,n ,4-1),Oriole Park at Camden Yards,3646950,44475,1st of 14,"$54,599,315 ",99,100,
Los Angeles Dodgers,8,1996,Los Angeles Dodgers,,,1,NL,West,90,72,0.555555556,none,2,Lost LDS ,n ,3-0),Dodger Stadium,3188454,39364,2nd of 14,"$35,355,000 ",92,93,
San Diego Padres,23,1996,San Diego Padres,,,1,NL,West,91,71,0.561728395,none,1,Lost LDS ,n,3-0),Jack Murphy Stadium &  Estadio de Beisbol Monterrey,2187886,27011,6th of 14,"$28,348,172 ",95,95,
Texas Rangers,18,1996,Texas Rangers,,,1,AL,West,90,72,0.555555556,none,1,Lost LDS ,n,3-1),The Ballpark in Arlington,2889020,35667,3rd of 14,"$39,041,528 ",105,105,
Cleveland Indians,12,1996,Cleveland Indians,,,1,AL,Central,99,62,0.614906832,toppct,1,Lost LDS ,n,3-1),Jacobs Field,3318174,41477,2nd of 14,"$48,216,360 ",98,99,
St. Louis Cardinals,5,1996,St. Louis Cardinals,,,1,NL,Central,88,74,0.543209877,none,1,Lost NLCS ,n ,4-3),Busch Stadium II,2654718,32774,4th of 14,"$40,269,667 ",100,100,
Atlanta Braves,1,1996,Atlanta Braves,,,1,NL,East,96,66,0.592592593,toppct,1,Lost_WS ,n ,4-2),Atlanta-Fulton County Stadium,2901242,35818,3rd of 14,"$49,698,500 ",104,106,
New York Yankees,15,1996,New York Yankees,,,1,AL,East,92,70,0.567901235,worldseries,1,Won_WS ,y,4-2),Yankee Stadium II,2250877,28136,7th of 14,"$54,191,792 ",100,101,
Boston Red Socks,10,1996,Boston Red Sox,,,1,AL,East,85,77,0.524691358,none,3,,n,,Fenway Park,2315231,28583,6th of 14,"$42,393,500 ",101,101,
Chicago Cubs,2,1996,Chicago Cubs,,,1,NL,Central,76,86,0.469135802,none,4,,n,,Wrigley Field,2219110,27396,5th of 14,"$33,081,000 ",103,103,
Chicago White Sox,11,1996,Chicago White Sox,,,1,AL,Central,85,77,0.524691358,none,2,,n,,Comiskey Park II,1676403,20696,9th of 14,"$45,289,500 ",95,95,
Cincinnati Reds,3,1996,Cincinnati Reds,,,1,NL,Central,81,81,0.5,none,3,,n,,Cinergy Field,1861428,22981,8th of 14,"$42,526,334 ",101,101,
Colorado Rockies,27,1996,Colorado Rockies,,,1,NL,West,83,79,0.512345679,none,3,,n,,Coors Field,3891014,48037,1st of 14,"$40,324,823 ",124,123,
Detroit Tigers,13,1996,Detroit Tigers,,,1,AL,East,53,109,0.327160494,none,5,,n,,Tiger Stadium,1168610,14427,13th of 14,"$23,438,000 ",102,100,
Florida Marlins,28,1996,Florida Marlins,,,1,NL,East,80,82,0.49382716,none,3,,n,,Joe Robbie Stadium,1746767,21565,10th of 14,"$31,132,000 ",97,97,
Houston Astros,19,1996,Houston Astros,,,1,NL,Central,82,80,0.50617284,none,2,,n,,Astrodome,1975888,24394,7th of 14,"$28,487,000 ",92,92,
Kansas City Royals,21,1996,Kansas City Royals,,,1,AL,Central,75,86,0.465838509,none,5,,n,,Kauffman Stadium,1435997,17950,10th of 14,"$20,290,250 ",100,99,
Los Angeles Angels of Anaheim,17,1996,California Angels,,,3,AL,West,70,91,0.434782609,none,4,,n,,Anaheim Stadium,1820521,22476,8th of 14,"$28,847,000 ",98,98,
Milwaukee Brewers,22,1996,Milwaukee Brewers,,,1,AL,Central,80,82,0.49382716,none,3,,n ,,County Stadium,1327155,16385,12th of 14,"$21,730,000 ",104,104,
Minnesota Twins,14,1996,Minnesota Twins,,,1,AL,Central,78,84,0.481481481,none,4,,n,,Hubert H. Humphrey Metrodome,1437352,17529,11th of 14,"$23,117,000 ",102,101,
New York Mets,20,1996,New York Mets,,,1,NL,East,71,91,0.438271605,none,4,,n,,Shea Stadium,1588323,19609,12th of 14,"$24,479,500 ",95,95,
Oakland Athletics,16,1996,Oakland Athletics,,,1,AL,West,78,84,0.481481481,none,3,,n ,,Oakland-Alameda County Coliseum &  Cashman Field,1148380,14178,14th of 14,"$21,243,000 ",102,101,
Philadelphia Phillies,6,1996,Philadelphia Phillies,,,1,NL,East,67,95,0.413580247,none,5,,n ,,Veterans Stadium,1801677,22243,9th of 14,"$34,314,500 ",101,100,
Pittsburgh Pirates,4,1996,Pittsburgh Pirates,,,1,NL,Central,73,89,0.450617284,none,5,,n ,,Three Rivers Stadium,1332150,16652,14th of 14,"$23,017,500 ",104,104,
San Francisco Giants,7,1996,San Francisco Giants,,,1,NL,West,68,94,0.419753086,none,4,,n,,3Com Park,1413922,17243,13th of 14,"$37,144,725 ",96,95,
Seattle Mariners,25,1996,Seattle Mariners,,,1,AL,West,85,76,0.527950311,none,2,,n,,Kingdome,2723850,33628,4th of 14,"$41,328,501 ",99,100,
Toronto Blue Jays,26,1996,Toronto Blue Jays,,,1,AL,East,74,88,0.456790123,none,4,,n,,SkyDome,2559573,31600,5th of 14,"$30,555,083 ",100,99,
Washington Nationals,24,1996,Montreal Expos,,,2,NL,East,88,74,0.543209877,none,2,,n ,,Stade Olympique,1616709,19959,11th of 14,"$16,264,500 ",102,102,
Baltimore Orioles,9,1997,Baltimore Orioles,,,1,AL,East,98,64,0.604938272,toppct,1,Lost ALCS ,n ,4-2),Oriole Park at Camden Yards,3711132,45816,1st of 14,"$58,516,400 ",96,97,
Houston Astros,19,1997,Houston Astros,,,1,NL,Central,84,78,0.518518519,none,1,Lost LDS ,n ,3-0),Astrodome,2046781,25269,8th of 14,"$34,777,500 ",95,96,
New York Yankees,15,1997,New York Yankees,,,1,AL,East,96,66,0.592592593,none,2,Lost LDS ,n ,3-2),Yankee Stadium II,2580325,32254,5th of 14,"$62,241,545 ",98,100,
San Francisco Giants,7,1997,San Francisco Giants,,,1,NL,West,90,72,0.555555556,none,1,Lost LDS ,n,3-0),3Com Park,1690869,20875,11th of 14,"$35,592,378 ",98,98,
Seattle Mariners,25,1997,Seattle Mariners,,,1,AL,West,90,72,0.555555556,none,1,Lost LDS ,n,3-1),Kingdome,3192237,39410,3rd of 14,"$41,540,661 ",98,98,
Atlanta Braves,1,1997,Atlanta Braves,,,1,NL,East,101,61,0.62345679,toppct,1,Lost NLCS ,n ,4-2),Turner Field,3464488,42771,2nd of 14,"$52,278,500 ",99,102,
Cleveland Indians,12,1997,Cleveland Indians,,,1,AL,Central,86,75,0.534161491,none,1,Lost_WS ,n,4-3),Jacobs Field,3404750,42034,2nd of 14,"$56,802,460 ",102,103,
Florida Marlins,28,1997,Florida Marlins,,,1,NL,East,92,70,0.567901235,worldseries,2,Won_WS ,y,4-3),Pro Player Stadium,2364387,29190,5th of 14,"$48,692,500 ",96,95,
Boston Red Socks,10,1997,Boston Red Sox,,,1,AL,East,78,84,0.481481481,none,4,,n,,Fenway Park,2226136,27483,7th of 14,"$43,558,750 ",102,102,
Chicago Cubs,2,1997,Chicago Cubs,,,1,NL,Central,68,94,0.419753086,none,5,,n,,Wrigley Field,2190308,27041,6th of 14,"$42,155,333 ",102,102,
Chicago White Sox,11,1997,Chicago White Sox,,,1,AL,Central,80,81,0.49689441,none,2,,n,,Comiskey Park II,1864782,23022,8th of 14,"$57,740,000 ",96,96,
Cincinnati Reds,3,1997,Cincinnati Reds,,,1,NL,Central,76,86,0.469135802,none,3,,n,,Cinergy Field,1785788,22047,9th of 14,"$49,768,000 ",102,102,
Colorado Rockies,27,1997,Colorado Rockies,,,1,NL,West,83,79,0.512345679,none,3,,n,,Coors Field,3888453,48006,1st of 14,"$43,559,667 ",123,122,
Detroit Tigers,13,1997,Detroit Tigers,,,1,AL,East,79,83,0.487654321,none,3,,n,,Tiger Stadium,1365157,16854,13th of 14,"$17,272,000 ",100,99,
Kansas City Royals,21,1997,Kansas City Royals,,,1,AL,Central,67,94,0.416149068,none,5,,n,,Kauffman Stadium,1517638,18970,10th of 14,"$34,810,000 ",102,101,
Los Angeles Angels of Anaheim,17,1997,Anaheim Angels,ANA,,2,AL,West,84,78,0.518518519,none,2,,n,,Anaheim Stadium,1767330,21553,9th of 14,"$31,135,472 ",102,102,
Los Angeles Dodgers,8,1997,Los Angeles Dodgers,,,1,NL,West,88,74,0.543209877,none,2,,n,,Dodger Stadium,3319504,40982,3rd of 14,"$45,380,304 ",92,93,
Milwaukee Brewers,22,1997,Milwaukee Brewers,,,1,AL,Central,78,83,0.48447205,none,3,,n ,,County Stadium,1444027,18050,11th of 14,"$23,655,338 ",102,101,
Minnesota Twins,14,1997,Minnesota Twins,,,1,AL,Central,68,94,0.419753086,none,4,,n,,Hubert H. Humphrey Metrodome,1411064,17421,12th of 14,"$34,072,500 ",101,101,
New York Mets,20,1997,New York Mets,,,1,NL,East,88,74,0.543209877,none,3,,n,,Shea Stadium,1766174,21805,10th of 14,"$39,800,400 ",97,97,
Oakland Athletics,16,1997,Oakland Athletics,,,1,AL,West,65,97,0.401234568,none,4,,n ,,Oakland-Alameda County Coliseum,1264218,15608,14th of 14,"$24,018,500 ",97,96,
Philadelphia Phillies,6,1997,Philadelphia Phillies,,,1,NL,East,68,94,0.419753086,none,5,,n ,,Veterans Stadium,1490638,18403,14th of 14,"$36,656,500 ",101,100,
Pittsburgh Pirates,4,1997,Pittsburgh Pirates,,,1,NL,Central,79,83,0.487654321,none,2,,n ,,Three Rivers Stadium,1657022,20457,12th of 14,"$10,771,667 ",103,103,
San Diego Padres,23,1997,San Diego Padres,,,1,NL,West,76,86,0.469135802,none,4,,n,,Qualcomm Stadium &  Aloha Stadium,2089333,25794,7th of 14,"$37,363,672 ",93,93,
St. Louis Cardinals,5,1997,St. Louis Cardinals,,,1,NL,Central,73,89,0.450617284,none,4,,n,,Busch Stadium II,2634014,32519,4th of 14,"$45,456,667 ",99,99,
Texas Rangers,18,1997,Texas Rangers,,,1,AL,West,77,85,0.475308642,none,3,,n,,The Ballpark in Arlington,2945228,36361,4th of 14,"$53,448,838 ",105,105,
Toronto Blue Jays,26,1997,Toronto Blue Jays,,,1,AL,East,76,86,0.469135802,none,5,,n,,SkyDome,2589297,31967,6th of 14,"$47,079,833 ",99,99,
Washington Nationals,24,1997,Montreal Expos,,,2,NL,East,78,84,0.481481481,none,4,,n ,,Stade Olympique,1497609,18489,13th of 14,"$19,295,500 ",99,99,
Cleveland Indians,12,1998,Cleveland Indians,,,1,AL,Central,89,73,0.549382716,none,1,Lost ALCS ,n,4-2),Jacobs Field,3467299,42806,2nd of 14,"$61,718,166 ",102,103,
Boston Red Socks,10,1998,Boston Red Sox,,,1,AL,East,92,70,0.567901235,none,2,Lost LDS ,n ,3-1),Fenway Park,2314704,28577,9th of 14,"$56,927,000 ",101,102,
Chicago Cubs,2,1998,Chicago Cubs,,,1,NL,Central,90,73,0.552147239,none,2,Lost LDS ,n,3-0),Wrigley Field,2623194,31990,6th of 16,"$50,838,000 ",103,103,
Houston Astros,19,1998,Houston Astros,,,1,NL,Central,102,60,0.62962963,none,1,Lost LDS ,n ,3-1),Astrodome,2458451,30351,8th of 16,"$42,374,000 ",97,98,
Texas Rangers,18,1998,Texas Rangers,,,1,AL,West,88,74,0.543209877,none,1,Lost LDS ,n,3-0),The Ballpark in Arlington,2927399,36141,4th of 14,"$56,752,095 ",103,104,
Atlanta Braves,1,1998,Atlanta Braves,,,1,NL,East,106,56,0.654320988,toppct,1,Lost NLCS ,n ,4-2),Turner Field,3360860,41492,3rd of 16,"$61,186,000 ",98,100,
San Diego Padres,23,1998,San Diego Padres,,,1,NL,West,98,64,0.604938272,none,1,Lost_WS ,n,4-0),Qualcomm Stadium,2555874,31554,7th of 16,"$46,861,500 ",92,92,
New York Yankees,15,1998,New York Yankees,,,1,AL,East,114,48,0.703703704,both,1,Won_WS ,y,4-0),Yankee Stadium II &  Shea Stadium,2955193,36484,3rd of 14,"$66,806,867 ",95,97,
Arizona Diamondbacks,29,1998,Arizona Diamondbacks,ARZ,,1,NL,West,65,97,0.401234568,none,5,,n,,Bank One Ballpark,3610290,44571,2nd of 16,"$32,347,000 ",99,100,
Baltimore Orioles,9,1998,Baltimore Orioles,,,1,AL,East,79,83,0.487654321,none,4,,n,,Oriole Park at Camden Yards,3684650,45490,1st of 14,"$72,525,634 ",97,98,
Chicago White Sox,11,1998,Chicago White Sox,,,1,AL,Central,80,82,0.49382716,none,2,,n,,Comiskey Park II,1391146,16965,12th of 14,"$39,850,000 ",98,98,
Cincinnati Reds,3,1998,Cincinnati Reds,,,1,NL,Central,77,85,0.475308642,none,4,,n,,Cinergy Field,1793649,22144,12th of 16,"$23,005,000 ",102,102,
Colorado Rockies,27,1998,Colorado Rockies,,,1,NL,West,77,85,0.475308642,none,4,,n,,Coors Field,3792683,46823,1st of 16,"$50,484,648 ",122,121,
Detroit Tigers,13,1998,Detroit Tigers,,,1,AL,Central,65,97,0.401234568,none,5,,n,,Tiger Stadium,1409391,17400,11th of 14,"$24,265,000 ",101,100,
Florida Marlins,28,1998,Florida Marlins,,,1,NL,East,54,108,0.333333333,none,5,,n,,Pro Player Stadium,1730384,21363,13th of 16,"$41,864,667 ",95,94,
Kansas City Royals,21,1998,Kansas City Royals,,,1,AL,Central,72,89,0.447204969,none,3,,n,,Kauffman Stadium,1494875,18686,10th of 14,"$38,097,500 ",102,101,
Los Angeles Angels of Anaheim,17,1998,Anaheim Angels,,,2,AL,West,85,77,0.524691358,none,2,,n,,Edison Field,2519280,31102,6th of 14,"$41,791,000 ",102,102,
Los Angeles Dodgers,8,1998,Los Angeles Dodgers,,,1,NL,West,83,79,0.512345679,none,3,,n,,Dodger Stadium,3089222,38139,5th of 16,"$48,820,000 ",95,95,
Milwaukee Brewers,22,1998,Milwaukee Brewers,,,1,NL,Central,74,88,0.456790123,none,5,,n ,,County Stadium,1811593,22365,11th of 16,"$34,139,904 ",101,100,
Minnesota Twins,14,1998,Minnesota Twins,,,1,AL,Central,70,92,0.432098765,none,4,,n,,Hubert H. Humphrey Metrodome,1165976,14395,14th of 14,"$28,097,500 ",102,101,
New York Mets,20,1998,New York Mets,,,1,NL,East,88,74,0.543209877,none,2,,n,,Shea Stadium,2287948,28246,9th of 16,"$52,247,999 ",99,99,
Oakland Athletics,16,1998,Oakland Athletics,,,1,AL,West,74,88,0.456790123,none,4,,n ,,Network Associates Coliseum,1232343,15214,13th of 14,"$21,473,000 ",97,96,
Philadelphia Phillies,6,1998,Philadelphia Phillies,,,1,NL,East,75,87,0.462962963,none,3,,n ,,Veterans Stadium,1715722,21182,14th of 16,"$36,297,500 ",103,102,
Pittsburgh Pirates,4,1998,Pittsburgh Pirates,,,1,NL,Central,69,93,0.425925926,none,6,,n ,,Three Rivers Stadium,1560950,19271,15th of 16,"$15,065,000 ",103,102,
San Francisco Giants,7,1998,San Francisco Giants,,,1,NL,West,89,74,0.54601227,none,2,,n,,3Com Park,1925364,23770,10th of 16,"$42,738,334 ",95,95,
Seattle Mariners,25,1998,Seattle Mariners,,,1,AL,West,76,85,0.472049689,none,3,,n,,Kingdome,2651511,32735,5th of 14,"$54,802,036 ",99,99,
St. Louis Cardinals,5,1998,St. Louis Cardinals,,,1,NL,Central,83,79,0.512345679,none,3,,n,,Busch Stadium II,3195691,38972,4th of 16,"$54,672,521 ",100,100,
Tampa Bay Rays,30,1998,Tampa Bay Devil Rays,TBD,,2,AL,East,63,99,0.388888889,none,5,,n,,Tropicana Field,2506293,30942,7th of 14,"$27,280,000 ",102,101,
Toronto Blue Jays,26,1998,Toronto Blue Jays,,,1,AL,East,88,74,0.543209877,none,3,,n,,SkyDome,2454303,30300,8th of 14,"$51,376,000 ",99,100,
Washington Nationals,24,1998,Montreal Expos,,,2,NL,East,65,97,0.401234568,none,4,,n ,,Stade Olympique,914909,11295,16th of 16,"$10,641,500 ",99,98,
Boston Red Socks,10,1999,Boston Red Sox,,,1,AL,East,94,68,0.580246914,none,2,Lost ALCS ,n ,4-1),Fenway Park,2446162,30200,6th of 14,"$64,097,500 ",103,104,
Arizona Diamondbacks,29,1999,Arizona Diamondbacks,,,1,NL,West,100,62,0.617283951,none,1,Lost LDS ,n ,3-1),Bank One Ballpark,3019654,37280,5th of 16,"$68,703,999 ",101,101,
Cleveland Indians,12,1999,Cleveland Indians,,,1,AL,Central,97,65,0.598765432,none,1,Lost LDS ,n,3-2),Jacobs Field,3468456,42820,1st of 14,"$73,679,962 ",103,104,
Houston Astros,19,1999,Houston Astros,,,1,NL,Central,97,65,0.598765432,none,1,Lost LDS ,n ,3-1),Astrodome,2706017,33000,8th of 16,"$55,114,000 ",98,100,
Texas Rangers,18,1999,Texas Rangers,,,1,AL,West,95,67,0.586419753,none,1,Lost LDS ,n,3-0),The Ballpark in Arlington,2771469,34216,5th of 14,"$76,709,931 ",105,105,
New York Mets,20,1999,New York Mets,,,1,NL,East,97,66,0.595092025,none,2,Lost NLCS ,n,4-2),Shea Stadium,2725668,33650,7th of 16,"$68,852,092 ",97,98,
Atlanta Braves,1,1999,Atlanta Braves,,,1,NL,East,103,59,0.635802469,toppct,1,Lost_WS ,n ,4-0),Turner Field,3284897,40554,2nd of 16,"$73,341,000 ",98,100,
New York Yankees,15,1999,New York Yankees,,,1,AL,East,98,64,0.604938272,both,1,Won_WS ,y,4-0),Yankee Stadium II,3292736,40651,3rd of 14,"$86,934,359 ",97,98,
Baltimore Orioles,9,1999,Baltimore Orioles,,,1,AL,East,78,84,0.481481481,none,4,,n,,Oriole Park at Camden Yards,3433150,42385,2nd of 14,"$80,805,863 ",96,96,
Chicago Cubs,2,1999,Chicago Cubs,,,1,NL,Central,67,95,0.413580247,none,6,,n,,Wrigley Field,2813854,34739,6th of 16,"$62,343,000 ",98,97,
Chicago White Sox,11,1999,Chicago White Sox,,,1,AL,Central,75,86,0.465838509,none,2,,n,,Comiskey Park II,1338851,16529,13th of 14,"$25,820,000 ",101,101,
Cincinnati Reds,3,1999,Cincinnati Reds,,,1,NL,Central,96,67,0.588957055,none,2,,n,,Cinergy Field,2061222,25137,11th of 16,"$33,962,761 ",103,103,
Colorado Rockies,27,1999,Colorado Rockies,,,1,NL,West,72,90,0.444444444,none,5,,n,,Coors Field,3481065,42976,1st of 16,"$61,935,837 ",127,127,
Detroit Tigers,13,1999,Detroit Tigers,,,1,AL,Central,69,92,0.428571429,none,3,,n,,Tiger Stadium,2026441,25018,9th of 14,"$36,689,666 ",101,99,
Florida Marlins,28,1999,Florida Marlins,,,1,NL,East,64,98,0.395061728,none,5,,n,,Pro Player Stadium,1369421,17118,15th of 16,"$21,085,000 ",95,93,
Kansas City Royals,21,1999,Kansas City Royals,,,1,AL,Central,64,97,0.397515528,none,4,,n,,Kauffman Stadium,1506068,18826,11th of 14,"$26,660,000 ",103,102,
Los Angeles Angels of Anaheim,17,1999,Anaheim Angels,,,2,AL,West,70,92,0.432098765,none,4,,n,,Edison Field,2253123,27816,7th of 14,"$55,633,166 ",100,99,
Los Angeles Dodgers,8,1999,Los Angeles Dodgers,,,1,NL,West,77,85,0.475308642,none,3,,n,,Dodger Stadium,3095346,38214,4th of 16,"$81,062,453 ",94,95,
Milwaukee Brewers,22,1999,Milwaukee Brewers,,,1,NL,Central,74,87,0.459627329,none,5,,n ,,County Stadium,1701796,21272,13th of 16,"$43,377,395 ",99,99,
Minnesota Twins,14,1999,Minnesota Twins,,,1,AL,Central,63,97,0.39375,none,5,,n,,Hubert H. Humphrey Metrodome,1202829,14850,14th of 14,"$22,107,500 ",104,103,
Oakland Athletics,16,1999,Oakland Athletics,,,1,AL,West,87,75,0.537037037,none,2,,n ,,Network Associates Coliseum,1434610,17711,12th of 14,"$24,831,833 ",94,94,
Philadelphia Phillies,6,1999,Philadelphia Phillies,,,1,NL,East,77,85,0.475308642,none,3,,n ,,Veterans Stadium,1825337,22535,12th of 16,"$31,897,500 ",105,105,
Pittsburgh Pirates,4,1999,Pittsburgh Pirates,,,1,NL,Central,78,83,0.48447205,none,3,,n ,,Three Rivers Stadium,1638023,20223,14th of 16,"$25,047,666 ",101,101,
San Diego Padres,23,1999,San Diego Padres,,,1,NL,West,74,88,0.456790123,none,4,,n,,Qualcomm Stadium &  Estadio de Beisbol Monterrey,2523538,31155,9th of 16,"$49,768,179 ",92,92,
San Francisco Giants,7,1999,San Francisco Giants,,,1,NL,West,86,76,0.530864198,none,2,,n,,3Com Park,2078399,25659,10th of 16,"$46,798,057 ",94,95,
Seattle Mariners,25,1999,Seattle Mariners,,,1,AL,West,79,83,0.487654321,none,3,,n,,Safeco Field &  Kingdome,2916346,36004,4th of 14,"$54,125,003 ",103,102,
St. Louis Cardinals,5,1999,St. Louis Cardinals,,,1,NL,Central,75,86,0.465838509,none,4,,n,,Busch Stadium II,3225334,40317,3rd of 16,"$49,988,195 ",101,101,
Tampa Bay Rays,30,1999,Tampa Bay Devil Rays,,,2,AL,East,69,93,0.425925926,none,5,,n,,Tropicana Field,1562827,19294,10th of 14,"$38,870,000 ",102,100,
Toronto Blue Jays,26,1999,Toronto Blue Jays,,,1,AL,East,84,78,0.518518519,none,3,,n,,SkyDome,2163464,26709,8th of 14,"$45,444,333 ",101,101,
Washington Nationals,24,1999,Montreal Expos,,,2,NL,East,68,94,0.419753086,none,4,,n ,,Stade Olympique,773277,9547,16th of 16,"$17,903,000 ",98,97,
Seattle Mariners,25,2000,Seattle Mariners,,,1,AL,West,91,71,0.561728395,none,2,Lost ALCS ,n,4-2),Safeco Field,2914624,35983,4th of 14,"$60,495,000 ",93,95,
Atlanta Braves,1,2000,Atlanta Braves,,,1,NL,East,95,67,0.586419753,none,1,Lost LDS ,n ,3-0),Turner Field,3234304,39930,4th of 16,"$84,737,836 ",99,101,
Oakland Athletics,16,2000,Oakland Athletics,,,1,AL,West,91,70,0.565217391,none,1,Lost LDS ,n ,3-2),Network Associates Coliseum,1603744,19799,11th of 14,"$33,172,333 ",95,96,
Chicago White Sox,11,2000,Chicago White Sox,,,1,AL,Central,95,67,0.586419753,toppct,1,Lost LDS ,n,3-0),Comiskey Park II,1947799,24047,9th of 14,"$31,743,500 ",102,102,
San Francisco Giants,7,2000,San Francisco Giants,,,1,NL,West,97,65,0.598765432,toppct,1,Lost LDS ,n,3-1),Pacific Bell Park,3318800,40973,2nd of 16,"$53,737,826 ",92,93,
St. Louis Cardinals,5,2000,St. Louis Cardinals,,,1,NL,Central,95,67,0.586419753,none,1,Lost NLCS ,n ,4-1),Busch Stadium II,3336493,41191,1st of 16,"$61,653,863 ",101,102,
New York Mets,20,2000,New York Mets,,,1,NL,East,94,68,0.580246914,none,2,Lost_WS ,n,4-1),Shea Stadium &  Tokyo Dome,2820530,34821,8th of 16,"$79,509,776 ",96,96,
New York Yankees,15,2000,New York Yankees,,,1,AL,East,87,74,0.540372671,worldseries,1,Won_WS ,y,4-1),Yankee Stadium II,3055435,38193,3rd of 14,"$93,113,260 ",98,99,
Arizona Diamondbacks,29,2000,Arizona Diamondbacks,,,1,NL,West,85,77,0.524691358,none,3,,n,,Bank One Ballpark,2942251,36324,6th of 16,"$81,027,833 ",103,105,
Baltimore Orioles,9,2000,Baltimore Orioles,,,1,AL,East,74,88,0.456790123,none,4,,n,,Oriole Park at Camden Yards,3297031,40704,2nd of 14,"$82,347,435 ",96,95,
Boston Red Socks,10,2000,Boston Red Sox,,,1,AL,East,85,77,0.524691358,none,2,,n,,Fenway Park,2585895,31925,6th of 14,"$79,975,333 ",103,104,
Chicago Cubs,2,2000,Chicago Cubs,,,1,NL,Central,65,97,0.401234568,none,6,,n,,Wrigley Field &  Tokyo Dome,2789511,34438,9th of 16,"$60,539,333 ",98,97,
Cincinnati Reds,3,2000,Cincinnati Reds,,,1,NL,Central,85,77,0.524691358,none,2,,n,,Cinergy Field,2577371,31431,10th of 16,"$46,867,200 ",102,102,
Cleveland Indians,12,2000,Cleveland Indians,,,1,AL,Central,90,72,0.555555556,none,2,,n,,Jacobs Field,3456278,42670,1st of 14,"$76,972,271 ",100,101,
Colorado Rockies,27,2000,Colorado Rockies,,,1,NL,West,82,80,0.50617284,none,4,,n,,Coors Field,3295129,40681,3rd of 16,"$61,111,190 ",125,125,
Detroit Tigers,13,2000,Detroit Tigers,,,1,AL,Central,79,83,0.487654321,none,3,,n,,Comerica Park,2438617,30106,7th of 14,"$59,645,167 ",95,95,
Florida Marlins,28,2000,Florida Marlins,,,1,NL,East,79,82,0.49068323,none,3,,n,,Pro Player Stadium,1218326,15041,15th of 16,"$20,347,000 ",95,94,
Houston Astros,19,2000,Houston Astros,,,1,NL,Central,72,90,0.444444444,none,4,,n,,Enron Field,3056139,37730,5th of 16,"$51,289,111 ",107,107,
Kansas City Royals,21,2000,Kansas City Royals,,,1,AL,Central,77,85,0.475308642,none,4,,n,,Kauffman Stadium,1564847,19319,12th of 14,"$24,903,000 ",103,103,
Los Angeles Angels of Anaheim,17,2000,Anaheim Angels,,,2,AL,West,82,80,0.50617284,none,3,,n,,Edison Field,2066982,25518,8th of 14,"$52,664,167 ",103,102,
Los Angeles Dodgers,8,2000,Los Angeles Dodgers,,,1,NL,West,86,76,0.530864198,none,2,,n,,Dodger Stadium,2880242,35559,7th of 16,"$88,124,286 ",94,94,
Milwaukee Brewers,22,2000,Milwaukee Brewers,,,1,NL,Central,73,89,0.450617284,none,3,,n ,,County Stadium,1573621,19427,14th of 16,"$37,305,333 ",98,97,
Minnesota Twins,14,2000,Minnesota Twins,,,1,AL,Central,69,93,0.425925926,none,5,,n,,Hubert H. Humphrey Metrodome,1000760,12355,14th of 14,"$17,529,500 ",105,104,
Philadelphia Phillies,6,2000,Philadelphia Phillies,,,1,NL,East,65,97,0.401234568,none,5,,n ,,Veterans Stadium,1612769,19911,13th of 16,"$47,513,000 ",101,100,
Pittsburgh Pirates,4,2000,Pittsburgh Pirates,,,1,NL,Central,69,93,0.425925926,none,5,,n ,,Three Rivers Stadium,1748908,21591,12th of 16,"$31,328,334 ",100,99,
San Diego Padres,23,2000,San Diego Padres,,,1,NL,West,76,86,0.469135802,none,5,,n,,Qualcomm Stadium,2352443,29043,11th of 16,"$55,021,000 ",92,92,
Tampa Bay Rays,30,2000,Tampa Bay Devil Rays,,,2,AL,East,69,92,0.428571429,none,5,,n,,Tropicana Field,1449673,18121,13th of 14,"$63,265,129 ",100,99,
Texas Rangers,18,2000,Texas Rangers,,,1,AL,West,71,91,0.438271605,none,4,,n,,The Ballpark in Arlington,2588401,31956,5th of 14,"$70,795,921 ",102,102,
Toronto Blue Jays,26,2000,Toronto Blue Jays,,,1,AL,East,83,79,0.512345679,none,3,,n,,SkyDome,1705712,21058,10th of 14,"$46,038,332 ",103,103,
Washington Nationals,24,2000,Montreal Expos,,,2,NL,East,67,95,0.413580247,none,4,,n ,,Stade Olympique,926272,11435,16th of 16,"$32,994,333 ",104,103,
Seattle Mariners,25,2001,Seattle Mariners,,,1,AL,West,116,46,0.716049383,toppct,1,Lost ALCS ,n,4-1),Safeco Field,3507326,43300,1st of 14,"$74,720,834 ",93,94,
Cleveland Indians,12,2001,Cleveland Indians,,,1,AL,Central,91,71,0.561728395,none,1,Lost LDS ,n,3-2),Jacobs Field,3175523,39694,3rd of 14,"$93,360,001 ",100,100,
Oakland Athletics,16,2001,Oakland Athletics,,,1,AL,West,102,60,0.62962963,none,2,Lost LDS ,n ,3-2),Network Associates Coliseum,2133277,26337,7th of 14,"$33,810,750 ",97,99,
St. Louis Cardinals,5,2001,St. Louis Cardinals,,,1,NL,Central,93,69,0.574074074,none,2,Lost LDS ,n ,3-2),Busch Stadium II,3109578,37922,3rd of 16,"$79,373,333 ",99,100,
